score,content
5,Salah satu Aplikasi foto edit Terbaik yg pernah ada.tidak ribet mudah penggunanya dan sangat menghibur.BIG TUMB
1,"Sepertinya keluhan saya sama dengan yg lain, tiap abis foto selalu ada tulisan ""ada yang tidak beres"".tlg di perbaiki,"
5,Face App Ini menjadi lebih muda Tp sayangnya beda sama aplikasi Face App Yg lainnya tolong di perbaiki kesalahan aplikasi nya Saya akan kasih bintang lima
4,Sangat bagus dan cukup canggih.... Tingkatkan lagi agar lebih canggih. Bravo.....!!
5,"Assalamualaikum ,halo nama saya marsha safira ,aplikasi ini sangat bagus ,saya sangat suka ,kuarga saya juga suka ,tapi kenapa pro nya haru bayar jadi susah"
1,Aplikasi Yang Sangaaaattt Mengecewakan Karena Hrs Berbayar Tidak Seperti Dahulu Utk Yang Pro Kita Bisa Melihat Video Iklan Utk Mengedit Foto Tolong Dirubah Seperti Dahulu Lagi Sehingga Faceapp Bisa Dinikmati Oleh Setiap Org Tanpa Hrs Berlangganan
1,"Apk nya bagus, tpi knapa ya gliran udah d pilih fotonya ngk bisa, Mlah ksalahan teknis ktanya, d smbut sma kucing trus"
5,Trnyata aplikasi FaceApp ini benar2 keren 👍 yg tdinya ragu tuk pasang foto profil sndri...skarang jdi makin tambah Pede dech dngan aplikasi FaceApp n kini foto profil ku semakin 👌 n benar2 cantik 😊...trima ksih FaceApp...
1,Kembalikan editan yg bs nonton iklanya... Jgn gini donk. Jd gk enak lg face app. 😒😒Dulu aku menggangap face app terbaik👍tp sekarang👎
3,Tolong di perbaiki pas buat video jadi rusak dan video nya berubah total
1,"aplikasi ini belum siap mengudara sepertinya👍tingkatkan dulu, lalu promosikan lagi, jangan buat kami kecewa🤘"
5,"Aplikasi ini wajib banget kalian download karena punya fitur yang bagus banget, gw aja sampe ketagihan sama fiturnya yang wow😍😍😍."
1,Tolong balikin yang versi lama diupdate malah fitur nya berkurang dulu nnton iklan udah bisa tapi sekarang harus prabayar
1,"masa pro semua? gimana cara pakainya? Ini mah harus bayar, minimal kasi 2 free ini malah pro semua hdh padahal dulu cuma pakai iklan doang gratis malah"
4,"Keren lah, aplikasi nya,tapi tolong dong update lagi, supaya efek efek nya kek buka semua."
5,tidak bisa diproses fotonya selalu muncul tulisan ada yang tidak beres terus tidak dijeleaskan salahnya apa👎👎👎👎
5,Sangat bagus dan terus membaguskan
5,"sangat bagus sekali,editan tetapi terlihat asli semoga tidak loading ya applikasi penghibur ini@faceapp😘"
5,"Aplikasinya jelek banget, nggak bagus! Aku udah download ini aplikasi tapi nggak bisa di buka, malah jadi kembali intinya ini aplikasi jangan di download! TUNGGU DULU! Semua yang ku tulis itu upit alias tipu hehe 😄 kalian harus download ini aplikasi soalnya bagus banget nget nget, bagi kalian yang mau ngehalu harus download !CUS GASKEUN!"
2,Bagus tapi katanya gratis di bawahnya tapi nggak ada tolong tambahin filter kebuka semua di setting nanti aku kasih bintang lima
5,Bagus sekali..bisa merubah wajah sedemekian rupa..dan jg sda tambah2an yg lain nya..pokoknya..good !!
4,Bagus banget sunpah tapii....coba aja semua filter bisa di pake / gak ada yang premium tapi bagus koo
3,Aku kasih bintang 3 ya soalnya menginstalnya nya lama dan banyak iklan beda yang dulu bisa di perbaiki kah??
5,"Lucu aja melihat wajah kita, yg aslinya pas-pasan, setelah mnggunakn aplikasi FaceApp langsung waw gitu loh 😁"
5,Sangat bagus. Hanya saja terlalu banyak pro. Jadi tidak bisa menikmati editor yg lain
5,Sangat bagus sekali pake faceApp bisa berubah muda tua.terimakasih faceApp semoga sukses selama lamanya..
5,Ini aplikasi sangat baik bisa merubah wajah jadi segalanya tp sayangnya ada yang dpro harus dibeli dulu deh😓
5,Bagus tapi ada sdikit kurang durasi pengeditan lama mohon di perbaiki padahal sinyal bagus tetap lama
5,"Ini APK nya menurut ku sangat bagus sekali,dan sangat Memuaskan..Tapi tolong di tingkat kan lagi,,APK nya"
4,"Sy senang dgn adanya faceapp ini , jd kl mau selfie ga repot , sy heran tadinya ada skrg ga ada mobil kuning yg mewah dgn interiornya di dlmnya. mobil tsb byk yg senang sy bilang asal di hp org2 ada WAnya sy hanya foto kepalanya OR seluruh tubuh nya & org2 tsb hanya bilang pingin jd abri , selfie dgn jendral ini atau itu . TP banyaknya mau sm pa jokowi & kel nya pa joko.sy skrg dikejar2 janji , sy bilang nanti kl ada kesmpaTan sy tanya ke fc appdimna mobilnya Gmana pak ...?"
2,"Assalamualaikum nama aku nadia, aku pake akun papa aku, kenapa aku kasih bintang 2 karna Face app ini lama banget di Download nya, lalu aku udah beli kuota tetep nggak bisa,kesel bangeeeettt...."
5,Keren abis pertahankan
5,"Okey mntap broo, pnampilan potho gue bss di rubah rubah (utk ekshen/rubah pnampilan) tlg tingkatkan lg mutunya dlm pnampilan nya /di tmbah lg gaya yg ekshenya yg lain dong, okey trmksih broo."
5,"wah bagus banget nih aplikasi nya, bisa buat ngedit foto jg bisa untk liat usia....,:-)"
1,"Jelek banget apk nya! , Masa harus pake yang pro semua? Ga bagus!"
1,"Bikin kecewa dulu udah bagus pake iklan ,tpi sekarang musti beli pake duit ,klau kyak gini gk bkalan ada yg make.coba d kmblikan seperti dulu psti banyak yg make."
1,Sekarang waktu nya uninstall aplikasi ini dulu buka yang pro masih bisa pakai iklan sekarang fitur ny dihapus
5,"Apk ini seru banget, bisa upgrade aib orang"
5,"Bagus 😎👍 banget aplikasinya yg ngk downlod nanti nyesel loo soalnya aplikasinya bagus sampai mau foto 📷 terus pke aplikasi facapp, ayo yg belum downlod ayo segera downlod karena apliakasinya keren deh"
3,template free nya kurang banyak.. masa cuma dua di setiap menu selebihnya pro..
1,"Yg baru banyak yg terkunci. Versi lama tidak bisa di gunakan,langsung di suaruh upgred yg baru .begitu curang nya kan?"
1,"apps goblok ngabis ngabisin kuota aja download apps gajelas merugikan,, di instal pas di buka ga bisa memperoses foto, Tai kalo ga bisa bikin apps gausah bikin bikin apps tolol merugikan banyak orang!!! ...Auto UinstaL\"
5,"Sayang nya saya tidak bisa mengunakan aplikasi gratis/tonton iklan, yang bisa harus pakai aplikasi pro jadi jarang digunakan"
5,"Aku suka banget sama aplikasi ini tapi ""memproses foto"" nya kok lama ya tolong diperbaiki lagi ya tolong banget"
5,bagus...dengan kemiripan yang lumayan bisa lihat kira kira kalau usia sudah tua seprti itu. buat hiburan juga.
5,Bagus bet dah wkkwkw.. Bisa edit wajah kita dan wajah siapa pun.. Tapi harus pas dengan wajah nya.. Gw edit Levi Ackerman di attack on Titan senyum!!!
1,"Dulu apk ini bagus, bisa pake pro , asalkan kita nonton iklan. Skrg gak bisa.👎"
5,"Ini seru sekali, saya bisa mengubah wajah saya, menggunakan filter yg keren, tapi alangkah baik nya ini bisa juga offline, ☺"
5,Hallo nama saya naffiza saya suka banget dengan aplikasi ini pokok nya seru deh tadinya gak cantik dirubah dengan aplikasi tanpak cantik sekali
5,"Fiturnya bagus bangat,,tp klau bisa tolong dtambhkan fitur pengganti pakaian,terima kasih....."
1,"di update semua fitur harus pengguna kan versi,pro dasar app miskin btw,langsung,uninstall,app ini,bye bye faceapp jelek"
5,Ini benar2 aplikasi yg keren. Saya melihat teman saya menginstal. Akhirnya saya coba sendir. Ternyata bagus sekali efeknya. ☺😊😀😁😃😄😇😉😺🙆👧🐥🐦🐹
5,"Aplk sangat keren dan bagus guys, disini kamu bisa buat bentuk apa aja wajah kalian,pokok nya nggak rugi deh aku download nya."
1,"apaan sih nii . masukan foto kok malah ""Ada yg tidak beres"" terus siih ini pakai WIFI Loh masa tidak bisa terus."
2,"Tolong dong , lain kali kalau buat app jangan kebanyakan bayar susah mau edit ni ,lgi gak ada duit pula .. tapi bagus kok ak kasih bintang 2 aja ya"
2,saya kurang begitu suka dengan app ini karena harus berlangganan terlebih dahulu baru bisa mengakses edit fotonya terima kasih
5,"Kenapa ya masih ada aja yang komentar begini : ini aplikasi/game jelek!!!! Tapi boong hayyuk. ""ITU KOMEN YANG NGGAK BERMANFAAT NGENT*T"" kalian itu kalo komen yang bagus dong misalnya tentang aplikasinya bagus atau tidak dan jelaskan apa kendalanya dan untuk developer jgn di PRO² in semua jadi gak enak itu saja dan untuk alplikasi nya bagus bgt Mohon maaf jika anda tersinggung GW KOMEN INI EMNG INGIN BUAT LU KESINGGUNG ANJ*NG mohon maaf jika ada kata² kasar ya lont* ngent* mem*k kont*l mohon maaf"
5,"Saya sangat2 menyukai editan ini karna bagus,sepertinya ini pakai kuota. klo bisa di perbagus lagi,karna banyk yyg terkuncii"
5,Aku kasih bintang 5 karena Aplikasi FaceApp memberikan hasil yg berkualitas & memuaskan. Terima kasih Apl. FaceApp karena telah memberikan hasil yg terbaik kepada beberapa pengguna aplikasi ini.
5,Beruntung lah yg sudah pernah berlanganan permanen di jaman dulu karena jaman skrng tidak ada permanenya 😁 thanks app faceapp saya tidak menyesal waktu berlanganan seumur hidup
5,Setelah menggunakan aplikasi ini sekarang aku tambah cantik udah cantik tambah cantik rugi yang engak pakek aplikasi ini buruan instal sekarang
5,"Bagus banget, sayang pake bayar, hahaha, coba kalau gratis, pasti the best, bayarnya sama iklan saja .."
5,Ok juga buat tepu² lawan jenis yg otak nya rada error 😁😂😃 Foto di edit tp aslinya gk bisa di edit.
5,"Terimakasih untuk developer karena sudah menciptakan apl ini, saya ngedit pakai foto saya dan menggunakan usia ank, dan sampai ² orang tua saya tidak tahu bahwa itu saya yg ada di foto itu:v. Dan ortu saya pun ikut mendownload app ini.."
4,"Saya sgt suka dgn apk ini, sgt luar biasa..tpi syg klau mau buka yg pro hrs bayar..tolong di perbaiki lgi..mksh"
4,"Over all bagus,tapi kebanyakan filternya ga bs dipake karena harus bayar. Yailah."
5,Saya bisa edit semua ini karena faceapp ini.saya kasih bintang 5 karena bagus banget. Dan saya yakin kalau faceapp ini bisa sukses besar
1,"tolong dong ya dibantu,knpa aplikasinya gabisa! percuma download klo ujung2!nya gini.buang2 kuota!!!!!"
5,"saya kasi bintang 5 yah karena aplikasi ini sangat bagu, tpi kok cuma satu yg gratis sih gaya rambutnya masa harus beli juga😁"
1,"Kembalikan fitur free, kami lebih suka menonton iklan daripada harus beralih ke fitur pro"
5,Aplikasi ini sangat. Jelek !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!tapi boong aplikasi ini bagus banget aku suka deh makanya aku kasih bintag lima
5,lebih di tingkatkan lagiii ... foto yang sudah di edit kadang gak bisa di edit lagii .
1,"Sekarang sudah gak asik, karena mesti langgana. Coba kembali seperti awal bisa pakai hanya dengan iklan!"
5,"asik,hebat ni aplikasi tapi sayangnya knapa hrs di beli dulu,hrs nya sma gratis sprti yg lainnya kirain udah di download bisa smua dipke."
1,gk bsa edit jg gagal proses mulu. coba lagi sampe kapan?? udh instal smpe 3 kali. tetep msh gtu.
1,Mau edit harus berbayar😪
1,"sudah saya coba instal gak bisa untuk ngeditnya,sudh saya uninstall tak download lagi jg tt gak bisa, kecewa 😟 jadinya"
1,kemana editan buat tukar wajah? kok menghilang? kecewa
5,Sangat Mantullll. PaceApp. Editor. Klo bisa lebih. Ad yang gratisnya. Tolong di fertimbangkan.
5,Aplikasi sangat membantu untuk mengedit wajah- wajah baru mohon aplikasinya agar di perbaiki lagiiiii
1,"Saya suka yang versi dulu, dulu tidak pakai premium semua sekarang pakai premium, tolong buat seperti versi dulu"
1,aplikasi apaan tau. di pake malah keluar kucing terus tulisan ada yg error. padahal hape note 9.
2,"awalnya keren. Tapi setelah edit beberapa kali terus udah ga bisa tulisanya"" ada yang tidak beres""."
5,"Bagus aplikasinya, tapi kebanyakan fitur PRO nya jadi kurang leluasa ngeditnya untuk fitur yg biasanya"
5,Thank you aplikasi faceApp uda memperbaiki dan bikin faceApp skrg tmbah keren dan bagus...aku smgt ngt mkenya dan mksih faceApp uda bikin phtoku cantik2 dan indah...aku kasi bintang 5 krna mnrtku uda istesbes bgt truss bikin aplikasi ini tbh bgis dan keren yh...ok 👌❤💞
1,Kenapa pas lagi memuat filter ada tulisan ADA YANG TIDAK BERES padahal singalnya kuat.
1,"hingga saat ini selalu mucul gambar kucing dan masalah ""ada ang tidak beres"". tolong segera di perbaiki masalah ini."
3,bagus tp kok skrng jd susah di buka server nya apa krna bnyk yg menggunakan tlng di perbaiki dong thanks...
5,"Berkat aplikasi ini saya bisa menghasilkan pulsa hanya dengan menipu om om cabul di sosmed, saya juga bisa mencari uang sendiri. NglonT secara online memang mantap, apalagi ketambahan pake aplikasi ini. Saya kelas 3 SMK, dan saya sudah bisa mendapatkan uang sendiri. Makasih face app"
5,"Bagus banget asli bisa nempelin muka artis ke mukaku,cuma kok masih banyak yg berbayar.sedikit disayangkan sih tapi aku paham hehe"
3,Kok aplikasi nya coba lagi terus padahal kecepatan sinyal kuat bange tolong di perbaiki
5,Saya mencoba app ini tényata sangat baik.bisa berbagai mcm fariasi merubah sblm dan sesudah hasilnya sangat bagus good luck face App
5,"downloadnya harus pakai wifi di kantor baru bisa,, padahal udah beberapa kali download pakai data hp sendiri tp ga bisa"
1,gua dah ganti foto berkali-kali tapi gua belum bisa saat app nya gua hapus gua instal lagi juga di layani ama kucing
1,kok fotonya gk bisa diproses ya loading nya jg lama bat gk kelar kelar padahal jaringan saya bagus jd saya kasih bintang 1 krn gk guna nihh apk
3,Maaf aq ks bintang 3 dulu Krn td aq br dpt kabar klo aplikasi ini data kita sebagai pengguna bisa dintai dan dpt merugikan diri sendiri🙏🙏🙏 Padahal Aplikasinya bagus tp epeknye sangat berbahaya Maaf sekali lagi
1,apa cuman punyakku aja udah download udah terpasang. tp selalu gagal untuk ngedit & nggk bisa sama sekali
1,"Lebih bagus waktu sebelum upgrade, Kemarin fiturnya bisa digunakan dengan menton walaupun tidak berlangganan"
5,"Alhamdulillah apk nya untung berguna bgt buat aku, aku rating5 soalnya amat2 bgus"
5,waoooo..aplikasinya sangat bagus.. lucu juga sih sebenarnnya.. yg intinya sukses slalu buat Tim FaceApp
1,"Maaf bintang satu,kalo boleh fitur nya di buka aga banyak,dari gender,senyum,lebar,Ama tata rambut hehe,kalo bisa di buka,biar bisa ngedit lebih lengkap hehe😅"
1,Hai mana saya putri. Saya sangat senang bisa mendownload FaceApp ini saat itu wajah saya hitam setelah memakai FaceApp saya terlihat sangat cantik rugi yang tidak mendownload......... .......terima kasih FaceApp 😘😘🖒🖒🖒🖒🖒👏👏👌
4,Aplikasinya tidak bisa berfungsi saya mencoba terus katanya aplikasinya Faceapp terus berhenti 🙁🙁 tolong tolong perbaiki aplikasinya saya itu sudah membuka membuka terus membuka kenapa gak bisa nyesel aku download aplikasi ini :'( 💢
1,Aplikasi ini saya kasi 5 bintang tapi sekarang semua jadi proh makanya saya kasih bintang satu tolong perbaikilah baru kasi 5 bintang lagi
5,Min kalo bisa tambahin metode pembayaran pulsa dong karna saya orang desa jadi GK punya kartu debit atau pembayaran lewat gopay atau apalah Pokokya app nya best lah Tolong
3,"stiap masuk mau edit foto slalu ga bisa, yang muncul cuma GAMBAR KUCING ama tulisan ADA YANG TIDAK BERES"
1,"Ada yang tidak beres, mohon coba lagi.. Udh uninstal dan di instal lagi tetap masih sama.. Di sambut kucing.."
5,lucu bangettttt... bagussss.. tapi deteksi wajah kl posisi nempel itu susah hihihi hanya 1 yg bs d edit
5,Bagus bisa edit yang tua jadi muda bagus deh pokoknya aplikasi no 1 di seluruh muka buni ini
5,"Bagus g bohong, lgian caranya jga mudah. Pokoknya simple banget, tpi sekarang banyak yg hrs pro...banyak yg g bisa dibuka"
5,wow aplikasinya keren bgt jadi klo kita masih muda jadi bisa melihat bagaimana klo kita tua nanti
3,kenapa ya kan awalan itu bisa di pakai tapi kenapa saat saya mau edit lagi ga bisa katanya ada yang bermasal tapi saya coba lagi ga bisa lagi kenapa ya ???atau karena banyak yang pakai ya ??? tolong di perbaiki ya
1,aplikasi ini bakal gak laku krn semuanya berbayar...dulu ckup nnton iklan aj udh bs pakek..klo mo laku ya balikin versi yg dulu bang
5,"Aplikasinya bagus banget, sangat menghibur Tambah lagi editornya dong Tapi yg gratisan aja😀"
1,selalu saja muncul gambar kucing.. pdhl saya manusia.. trs muncul tulisan ada yg tidak beres..
1,"saya coba app ini, tapi kenapa kok stelah saya coba edit fotonya malah ada kesalahan coba lagi?"
1,"𝐌𝐚𝐚𝐟 𝐲𝐚𝐚, 𝐤𝐥𝐨 𝐀𝐤𝐮 𝐊𝐚𝐬𝐢𝐡 𝐁𝐢𝐧𝐭𝐚𝐧𝐠 𝟏,❗ 𝐭𝐨𝐥𝐨𝐧𝐠 𝐲𝐚, 𝐏𝐚𝐬 𝐀𝐤𝐮 𝐌𝐚𝐢𝐧 𝐢𝐭𝐮 𝐒𝐞𝐫𝐢𝐧𝐠 𝐊𝐞𝐥𝐮𝐚𝐫 𝐆𝐢𝐭𝐮 𝐃𝐚𝐧 𝐌𝐚𝐬𝐚𝐥𝐚𝐡𝐧𝐲𝐚 𝐋𝐚𝐠𝐢 𝐒𝐞𝐫𝐢𝐧𝐠 𝐢𝐭𝐚𝐦 𝐈𝐭𝐚𝐦 𝐥𝐚𝐲𝐚𝐫 𝐧𝐲𝐚 𝐏𝐚𝐬 𝐒𝐞𝐥𝐚𝐠𝐢 𝐚𝐤𝐮 𝐦𝐚𝐢𝐧 𝐓𝐨𝐥𝐨𝐧𝐠 𝐃𝐢𝐩𝐞𝐫𝐛𝐚𝐢𝐤𝐢 𝐘𝐚𝐚 𝐀𝐩𝐥𝐢𝐤𝐚𝐬𝐢 𝐍𝐲𝐚,❗❗😌"
5,Saya sangat suka dengan aplikasi ini klo bisa di perbanyak animasinya...buat backgroundnya...
5,Aplikasinya bagus
5,sangat menarik seperti ASLI. jadi seakan kita sudah bisa tau wajah kita saat tua nanti. saat pakai kacamata. saat ada jenggot dll. SEPURNA
5,"Suka,, G perlu repot2 make up tinggal buka aplicasi ini langsung cring jd cantik..😊 karna sya emang ga suka make up.."
4,"Ini kalau mau buka aja harus pake data sebanarnya aplikasinya udah bagus tapi diperbaikin lagi ya terus jangan ada yang harus di bayar ,kalau udah gratis aku kasih bintang 5"
1,Kenapa not responding terus yaa. Setiap selesai foto ada bacaan terjadi kesalahan..
5,"Ya pengalaman setelah download aplikasi ini ya sukak ketawa sendiri,.. soalnya lucu banget bikin ketawa sumpah gilak,.. wkwkwkw lihat muka kita jadi tua,.. hahaha"
5,"Sangat bagus edit foto langsung dengan mudah gambar bersih, pokoknya sip banget 👍😁"
5,"Bagus, edit sesuka hati, tapi gk ada fitur buat collage, lancipin pipi, dan lainya. Juga yg lainya harus bayar😭😭😭"
5,Aplikasinya bagus cuman untuk perubahan yg lain tolong cukup nonton iklan aja supaya bisa di pake
1,Sangat tidak bagus untuk versi yg sekarang. Versi yg dulu semuanya gratis. Aunto unistal
1,ga bisa editor. baru pilih foto ga bisa2 terus.. kecewa sih.
1,"aplikasi nya si baguss,tapii kenapa harus ada yg bayar. terus kalo gak ada paket gak bisa buka tu aplikasi nya. tlong diperbaiki"
1,Tidak semua menggunakan setiap hari. Menurutku seperti dulu dengan menonton iklan lebih baik
1,auto uninstall. aplikasi gak bisa digunakan sama sekali. bisa digunakan nya pas demo doang.
5,"Terimakasih untuk aplikasi faceapp, sangat membantu untuk pempertampan wajah menjadi bersinar.... 🤩"
1,"iseng2 donlod karna temen2 juga udah pada nyoba eh tp ternyata gak bisa terus, di sambut gambar kucing. dan setelah baca review ternyata gak cuma sy aja yg gitu. Tadi sempet liat tv klo apliksi ini dilaporkan karna mengganggu dan sedang di selidiki sama FBI, mungkinkah ada hubungannya dengan itu 🙊"
3,"saya ber harap, selanjutnya bisa di gunakan mode offline, (tanpa jaringan internet) dan banyak yang gratis"
5,"FaceApp sangat berguna untuk wajah kita menjadi tua, kecil, muda ini pokoknya sangattttt bagusss"
5,Keren AI nya....rekayasa foto rasanya saat ini makin mudah (generasi susah payah cari ide d Photoshop)
5,"Mantap... foto jd semakin bagus dgn apk ini, smoga yg premiun jd gratis bisa di pakai...😂😂😂"
1,"Dulu seneng banget pake Aflikasi ini, jika pake Pro masih bisa buka pake nonton iklan...sekarang?! I don't like this...sorry"
5,Bagus banget.. Tapi sayang iklan nya suka ga ada.. Jadi mesti berbayar..
5,"Apk nya Bagus banget,suka ngedit foto pakai aplikasi ini tapi sayang sekarang harus pakai PRO ,tidak ada lagi nonton iklan gratis"
1,"Dulu enak lihat iklan bisa pakai, baru instal sekarang nggak ada yang gratis, dah lah uninstal lagi"
5,Aplikasi ini sangat bagus! Saya memberi B5 karna aplikasi ini buat para editor yang mau morphing wajah ☺️
5,"Good job, aplikasi ini bisa dijadikan referensi buat Qt Qt yang mau pake mode atau tatanan rambut, riasan dan lain2 buat mempercantik diri .thx"
1,Udah coba Berkali kali Install dan Uninstall hasilnya tetap sama. Tulisannya : Ada Yang Tidak Beres Silahkan Coba Lagi .
5,Saya suka app ini karena bisa merubah wajah saya seperti yg saya inginkan.tanpa operasi .. wkwkwk...!!!
5,Tujuan saya memberi bintang 5 karena plikasi ini sangat pantas untuk saya karena bisa mengubah rambut saya jadi kayak semiran
4,"Applikasih ini Bermanfaat bisa merobah wajah yg tua menjadi muda,Luar biasa aku Suka sehingga aku beri 4 bintang trima kasih ya Gais"
5,Tul mantull. Aplikasi ini bisa membuat wajah yang sangat berbeda. Bisa menipu wajah sendiri🤣🤣🤣
2,"tolong cepat diperbaiki soal masalah ""ada yang tidak beres,maaf coba lagi""saya sudah coba berulang ulang kali tapi masih tidak bisa jadi tolong diperbaiki :-("
3,Sebenernya sih bagus tapi harus pake kuota kalo aq pengen nya ofline aja sih tapi ini tetep bagus sih tolong di perbaiki ya... Trimakasih
1,tdk bsa d buka eror melulu trus gak bisa edit foto ber 2 harus salah satu wajah aja yg bsa
5,Ini bagus banget pokok nya jangan nyesel dehhh kalau downloud aplikasi ini muka kita bisa jadi cantik bangett Aku bakalan kasih bintang 5
5,Sangat bgs sekali i like it... tp gak bs cb2 semuanya . Ktnya gratis 3hari masa percobaan kok gak bs dicoba.. so far bgs bgt sukaaaaa
5,sangat baik editannya juga sangat rapih tapi tolong banyakin yang gratisnya dibandingkan dengan yang pro😋
5,"mantaplah,..makasih atas aplikasinya, hanya kalo bisa beberapa mode ditambahkan free nyalah"
1,saya kurang puas bahkan tidak sama sekali. daripertama download.. selalu memproses... teerus.... dan terus.... payyaaah
1,"jelek jelek jeleeek. pertama bisa seterus nya ga bisa trus semua harus bayar lagi fitur"" nya. tolong donk kalau bikin app itu yg jelas jangan PhP orang. buang"" kuota aja. ANINSTAL!!!"
1,"selalu disambut dengan gambar kucing ada yang tidak beres, aplikasi nya tidak bisa dipake ngga seru"
5,Ya yang kurang itu di permohon semua jangan di pro terus kan saya gak bisa make walo hanya beberapa mb tapi tolong ya sama tolong untuk di komplitin yah makasih bye
5,"Langsung berubah drastis, dari muka bantal jadi berwajah cantik, kinclong, putih, mempesona."
5,Aplikasi ini sangat bagus cepat kalian donwlod aplikasi nya kalian bisa edit foto kalian apa aja silakan donwlod ya teman😁😁😁...
4,"Keren editannya kayak beneran👍 Tapi aku pingin yg editan biar jadi botak itu jangan di pro in bisa ngga,cuma itu aja kok👌👍"
5,bagus tempat edit nya kalian harus donload Faceapp oke aplikasi nya bagus jangan lupa kasih tau teman kalian suruh donload aplikasi Faceapp ya 😊😊😊😊😊😊😊😊😊dan jangan lupa kasih bintang play store ya untuk menyukai aplikasi inio
1,"Seharusnya pas sebelum dowload ada tulisan berbayar untuk semua fitur lah, buang buang data sama penyimpanan aja coo"
1,"baru download edit beberapa foto, eh udah gabisa edit lagi, error terus."
5,Aplikasi ini sangat bagus dapat membuat suasana yang menyenangkan dalam selfie foto dengan menggunakan karakter terbaik👍
1,"App gak guna sama s kali, semua bayar , Gak kayak dulu nonton iklan bisa di gunakan"
5,"Aplikasinya bagus banget deh bisa liat artis luar negeri pokoknya seru banget deh kalian semua harus Download aplikasi ini ya, terima kasih banyak Admin yang sudah membuat aplikasi ini"
5,Okey mantep klo bisa gratis semua 😂
5,"Aplikasinya bagus, yg pro mesti bayar ( mahal). Yg latar belakang...keliatan foto seperti di tempel"
5,Keren bangetzzzzz Aplikasinya .... Jdi pengen pake ngedit foto lagi dan lagi krna hsilnya memuaskan banget...
5,"Aplikasi ini sangat bagus dan saya suka dengan aplikasi ini,dan bagi teman"" yang lain belum mencoba ayo di download karna ini sangat bagus"
2,"Ini knpa aplikasinya baru msuk tiba"" kluar otomatis... Baru jg d buka udh keluar aja..."
3,Kurang Bgus bnyak iklan nya mau mengedet hrus nungguin iklan Trus menerus . Tingkatkan lagi kualitas nya...
5,Sangat bagus. Pokox the best. I love this aplikasi .dari Dulu sampai skarang jatu cinta dgn Aplikasiini. Silahkn di Download. Pokoknya the best of all
5,Hanya untuk berenang - senang tidak untuk yang lain. Dan mengikuti perkembangan era semua diujung jari. Vokoke mantul ndan
1,"apa apa,an ini ko gak bisa di gunakan nih aplikasi muncul nya gambar kucing ada yg gak beres aneh aplikasi kaya gini ngapain di pajang"
5,Keren banget aplikasinya banyak fitur fitur menarik untuk di coba....😁😁 Terima kasih FaceApp aku akan selalu mendukung mu😊😋
1,"Kenapa pas saya mau edit foto ga bisa ya? bacaan nya selalu coba lagi nanti ? saya kasih bintang 1 dulu deh ya, tolong perbaiki lagi aplikasi nya"
4,"Sayang fiturnya dikit untuk gratis nya, kall aja minimal 3 pilihan per fitur yang gratis."
2,Fitur ganti muka nya gak ada lagi
2,"aplikasinya bagus , tp pas mau buka lagi ko disambut kucing tulisannya ada yang ""tidak beres "" kecewaa deh 😂😂"
5,Apk ini sangat luar biasa sungguh ak sangat suka sekali trimakasi kepada yg menciptakan apk ini .ayo instal.
5,Aplikasi yg bagus . tapi mahal banget unk pembelian desainnya.. tapi sya tetap kasih bintang 5
4,"Hai,aplikasinya memang bagus sih tapi pas mau editor rambut yg panjang kok kayak macet gitu"
5,"Sangat berguna untuk membuat pas foto , menambah gaya yg sesuai kebutuhan, rekomendasi bangat"
5,"top dah nyuesel kalo gk download ni app, klo bisa ditambahkan lgi fiturnya jdi banyak pilihan edit, thanks"
5,"Terimakasih Boss,,,aplikasi bagus👍 bantu utk menyelaraskan tampilan poto,tingkatkan fiturnya boss,kurangi iklanya🙏"
5,"Terimakasih untuk ini karna aku edit fotoku jd banyak yg suka sm aku karna aku posting ke instagram, Facebook, whatsapp, dan banyak yg suka sm aku karna kegantengan aku wkwkkw thank you for whacting"
1,"gak bisa dipakai tulisan ada yang tidak beres ,semua foto telah dicoba dari galeri maupun kamera , hp Samsung J7 Pro"
5,Wow bagus banget aplikasi nya.... Berkat aplikasi ini saya bisa lebih pd kalau memposting foto saya pokok nya nyesel kalau gk download....
5,Aku suka aplikasi ini. Menyenangkan bisa mengatasi kegabutan. Aplikasinya bagus gk lemot. Suka banget. 😉👌
1,Apk nya lumayan bagus😵 tapi kenapa gk bisa di update 😵 tolong apk ini jadikan menjadi premium tolong😭 dan juga tolong hapus tanda air nya😭😭😭 jelek bat 😭😭 tolong hapus tanda airnya dan jadikan premium 😭😭😭
5,top ini aplikasi...ngga usah ke salon ...ngga usah operasi plastik cukup pakai ini bikin awet muda lg ..bikin tua jg bs 😆👍
5,Aplikasi ini bagus selagi wajah kita hanis bangun tdr kita bisa pake FaceAPP agar wajah kita sempurna seperti dandan
5,Aplikasi nya bagus banget aku suka kalian pasti tau kan BTS nah aku itu ada Poto nya Jungkook waktu aku ganti muka nya jadi wanita ihh cantikk bangettt dan blackpink juga aku ganti jadi laki2 ganteng banget dan setelah aku editing yang Kpop tadi aku jobai Poto aku ih cantik banget aku jangan lupa di dowlot aplikasi ini gak nyesel deh👍👍kalo kata kalian bagus aplikasinya jangan lupa di kasih bintang lima ya sudah sampe sini dulu ya wasalamualaikum
